# Stellarium DSO catalog;;;;;;;;
# Version 3.7 standard;;;;;;;;
# NGC;MES;CAL;RA;DEC;MAG;TYPE;SIZE1;SIZE2
1261;0;87;48.06754;-55.21622;8.63;GLOCL;12.9;0
6397;0;86;265.17538;-53.67433;5.17;GLOCL;32;0
0;0;85;130.133;-53.033;2.5;OPNCL;60;0
5286;0;84;206.61171;-51.37425;8.31;GLOCL;11;0
4945;0;83;196.363663;-49.4679;9.3;GALXY;20;3.8
6193;0;82;250.333;-48.763;5.2;OPNCL;15;0
6352;0;81;261.37129;-48.42217;8.87;GLOCL;7.1;0
5139;0;80;201.697;-47.47947;5.33;GLOCL;55;0
3201;0;79;154.40342;-46.41247;8.24;GLOCL;18.2;0
6541;0;78;272.00983;-43.71489;7.33;GLOCL;15;0
5128;0;77;201.365063;-43.019113;6.84;GALXY;25.7;20
6231;0;76;253.53546;-41.82667;2.6;OPNCL;15;0
6124;0;75;246.333;-40.653;5.8;OPNCL;29;0
3132;0;74;151.75735;-40.436406;10.01;PLNNB;1.03;0.72
1851;0;73;78.52817;-40.04656;7.23;GLOCL;12;0
55;0;72;3.723342;-39.196628;7.87;GALXY;32.4;5.6
2477;0;71;118.042;-38.53;5.8;OPNCL;27;0
300;0;70;13.722829;-37.684381;8.13;GALXY;21.9;15.5
6302;0;69;258.434212;-37.104428;99;PLNNB;1.48;0.743
6729;0;68;285.4433;-36.9611;99;INSMA;25;20
1097;0;67;41.579413;-30.274911;9.48;GALXY;6.01;3.306
5694;0;66;219.90217;-26.53833;10.89;GLOCL;4;0
253;0;65;11.888058;-25.2888;8;GALXY;27.5;6.8
2362;0;64;109.671;-24.955;4.1;OPNCL;8;0
7293;0;63;337.410588;-20.837122;7.6;PLNNB;25;13.4
247;0;62;11.785642;-20.7604;9.11;GALXY;21.4;6.9
4039;0;61;180.4737;-18.8856;99;INGAL;3.1;1.6
4038;0;60;180.470842;-18.867589;99;INGAL;5.2;3.1
3242;0;59;156.192113;-18.6424;8.6;PLNNB;0.42;0.62
2360;0;58;109.429;-15.642;7.2;OPNCL;14;0
6822;0;57;296.234163;-14.797581;8.1;GALXY;15.5;13.5
246;0;56;11.763909;-11.871928;11.78;PLNNB;3.733;3.733
7009;0;55;316.045321;-11.363406;8;PLNNB;0.69;0.58
2506;0;54;120.004;-10.77;7.6;OPNCL;12;0
3115;0;53;151.308242;-7.718581;9.9;GALXY;7.2;2.5
4697;0;52;192.149612;-5.80085;99;GALXY;4.403;2.774
0;0;51;16.19917;2.11778;9.21;GALXY;16.2;14.5
2244;0;50;97.979;4.942;4.8;OPNCL;24;0
2238;0;49;97.62;5.05;9;H-I-I;80;60
2775;0;48;137.5838;7.037925;10.481;GALXY;4.3;3.3
6934;0;47;308.54737;7.40447;8.83;GLOCL;8.4;0
